분류,장소명,카카오맵_장소명,검색_장소명,위도,경도,주소
체험관광지,성이시돌목장,성이시돌목장,성이시돌목장,33.34776988,126.3273211,제주특별자치도 제주시 한림읍 금악리 142
체험관광지,아홉굿마을,낙천아홉굿마을,낙천아홉굿마을,33.32760549,126.2267772,제주특별자치도 제주시 한경면 낙천리 1916
체험관광지,어멍아방잔치마을,어멍아방잔치마을,어멍아방잔치마을,33.36190453,126.840566,제주특별자치도 서귀포시 성산읍 신풍리 500-1
체험관광지,이상한나라의앨리스,제주거울미로 이상한나라의 앨리스,제주이상한나라의앨리스,33.2889975,126.3216275,제주특별자치도 서귀포시 안덕면 서광리 717-3
체험관광지,이중섭문화거리,이중섭거리,이중섭거리,33.24565245,126.564181,제주특별자치도 서귀포시 서귀동 512
체험관광지,점보빌리지,점보빌리지,점보빌리지,33.27627648,126.3051056,제주특별자치도 서귀포시 안덕면 서광리 2351
체험관광지,제주동백마을,제주동백마을,제주동백마을,33.32038818,126.7451815,제주특별자치도 서귀포시 남원읍 신흥리 1759-2
체험관광지,제주명도암참살이마을,명도암참살이마을,명도암참살이마을,33.46249479,126.6062988,제주특별자치도 제주시 봉개동 270-3
체험관광지,제주서광다원,제주서광다원,제주서광다원,33.3083756,126.3067324,제주특별자치도 서귀포시 안덕면 서광리 1203-14
체험관광지,제주유수암마을,유수암마을,유수암마을,33.4413234,126.4027651,제주특별자치도 제주시 애월읍 유수암리 1892-1
체험관광지,제주청수마을,청수마을,청수마을,33.31807493,126.2475176,제주특별자치도 제주시 한경면 청수리 1572-3
체험관광지,제주초콜릿랜드,초콜릿랜드,초콜릿랜드,33.24940041,126.4134525,제주특별자치도 서귀포시 색달동 2864-36
체험관광지,제주도예촌,제주도예촌,제주도예촌,33.26491551,126.235551,제주특별자치도 서귀포시 대정읍 영락리 1
체험관광지,제주마방목지,제주마방목지,제주마방목지,33.42725344,126.6030774,제주특별자치도 제주시 용강동 산 14-34
체험관광지,제주선인장마을,제주선인장마을,제주선인장마을,33.37518805,126.2157223,제주특별자치도 제주시 한림읍 월령리 417
체험관광지,제주탐나라공화국,제주탐나라공화국,제주탐나라공화국,33.33371704,126.326905,제주특별자치도 제주시 한림읍 금악리 81-9
체험관광지,제주허브동산,제주허브동산,제주허브동산,33.32968333,126.8151318,제주특별자치도 서귀포시 표선면 표선리 2608
체험관광지,제주힐링명상센터,무병장수테마파크,무병장수테마파크,33.39556313,126.3610086,제주특별자치도 제주시 애월읍 어음리 49
체험관광지,조랑말체험공원,조랑말체험공원,조랑말체험공원,33.38309728,126.7362849,제주특별자치도 서귀포시 표선면 가시리 3149-33
체험관광지,주식회사제이엠그랑블루요트,제이엠그랑블루요트,제이엠그랑블루요트,33.23825046,126.4395518,제주특별자치도 서귀포시 대포동 2184-15
체험관광지,하도어촌체험마을,하도어촌체험마을,하도어촌체험마을,33.52003178,126.9040529,제주특별자치도 제주시 구좌읍 하도리 22-10
체험관광지,혼인지마을,혼인지마을,혼인지마을,33.40551642,126.9038478,제주특별자치도 서귀포시 성산읍 온평리 956-1
건축/조형물,새섬새연교,새연교,새연교,33.23853254,126.558886,제주특별자치도 서귀포시 서홍동 707-4
건축/조형물,선임교,선임교,선임교,33.25164578,126.4169744,제주특별자치도 서귀포시 중문동
건축/조형물,제주해녀항일운동기념탑,제주해녀 항일운동기념공원 제주해녀항일운동기념탑,제주해녀항일운동기념탑,33.5216489,126.863349,제주특별자치도 제주시 구좌읍 상도리 471-32
문화/예술/역사,관덕정,관덕정,관덕정,33.51334915,126.5214571,제주특별자치도 제주시 삼도2동 983-1
문화/예술/역사,관음사,관음사,관음사,33.42374026,126.5581237,제주특별자치도 제주시 아라일동 387
문화/예술/역사,금룡사,금룡사,금룡사,33.553911,126.753563,제주특별자치도 제주시 구좌읍 김녕로 148-11
문화/예술/역사,대정향교,대정향교,대정향교,33.23945,126.288411,제주특별자치도 서귀포시 안덕면 향교로 165-17
문화/예술/역사,명월대,명월대,명월대,33.38901265,126.2662279,제주특별자치도 제주시 한림읍 명월리 2223
문화/예술/역사,모충사,모충사,모충사,33.51606702,126.5460174,제주특별자치도 제주시 건입동 426
문화/예술/역사,방사탑,방사탑,방사탑,33.51340556,126.4842895,제주특별자치도 제주시 용담삼동 2580-55
문화/예술/역사,백제사,백제사,백제사,33.44885763,126.4242237,제주특별자치도 제주시 애월읍 광령리 4121
문화/예술/역사,법화사,법화사,법화사,33.26504376,126.4575917,제주특별자치도 서귀포시 하원동 1071-1
문화/예술/역사,별방진,별방진,별방진,33.52677198,126.8828987,제주특별자치도 제주시 구좌읍 하도리 3354
문화/예술/역사,보림사,보림사,보림사,33.517629,126.546427,제주특별자치도 제주시 사라봉동길 61
문화/예술/역사,불탑사,불탑사,불탑사,33.52929506,126.5981808,제주특별자치도 제주시 삼양일동 696
문화/예술/역사,산방굴사,산방굴사,산방굴사,33.2379626,126.3130909,제주특별자치도 서귀포시 안덕면 사계리 3693
문화/예술/역사,산천단곰솔,곰솔흑송,산천단곰솔,33.44740877,126.5529876,제주특별자치도 제주시 아라일동 375-1
문화/예술/역사,서귀포김정희유배지,추사유배지,추사유배지,33.25040562,126.2781963,제주특별자치도 서귀포시 대정읍 안성리 1661-1
문화/예술/역사,서귀포하논분화구,하논,하논분화구,33.254403,126.546352,제주특별자치도 서귀포시 일주동로 8823
문화/예술/역사,성읍민속마을,성읍민속마을,성읍민속마을,33.38700668,126.7999853,제주특별자치도 서귀포시 표선면 성읍리 820-1
문화/예술/역사,약천사,약천사,약천사,33.24623622,126.4494585,제주특별자치도 서귀포시 대포동 1165
문화/예술/역사,양금석가옥,양금석가옥,양금석가옥,33.29132857,126.6284809,제주특별자치도 서귀포시 남원읍 신례리 1314
문화/예술/역사,연북정,연북정,연북정,33.54008358,126.6361195,제주특별자치도 제주시 조천읍 조천리 2690
문화/예술/역사,오현단,오현단,오현단,33.51041917,126.5257267,제주특별자치도 제주시 이도1동 1421-3
문화/예술/역사,월영사,월영사,월영사,33.47781058,126.4136737,제주특별자치도 제주시 애월읍 상귀리 329
문화/예술/역사,월정사,월정사,월정사,33.466567,126.510354,제주특별자치도 제주시 아연로 216-5
문화/예술/역사,이중섭거주지,이중섭거주지,이중섭거주지,33.24554838,126.5643275,제주특별자치도 서귀포시 서귀동 512-1
문화/예술/역사,절부암,절부암,절부암,33.32369021,126.1671398,제주특별자치도 제주시 한경면 용수리 4241-5
