분류,장소명,카카오맵_장소명,검색_장소명,위도,경도,주소
자연,아부오름,아부오름,아부오름,33.44858418,126.777215,제주특별자치도 제주시 구좌읍 송당리 2263
자연,안덕계곡,안덕계곡,안덕계곡,33.25720217,126.3525826,제주특별자치도 서귀포시 안덕면 감산리 1946
자연,어승생,어승생승마장,어승생승마장,33.4256641,126.490813,제주특별자치도 제주시 노형동 산 14-1
자연,엉또폭포,엉또폭포,엉또폭포,33.26853216,126.4999655,제주특별자치도 서귀포시 강정동 5628
자연,엉알해안,엉알해안,엉알해안,33.29942092,126.1675155,제주특별자치도 제주시 한경면 고산리
자연,여미지식물원,여미지식물원,여미지식물원,33.25260678,126.4142595,제주특별자치도 서귀포시 색달동 2484-1
자연,연화못,연화못,연화못,33.29425782,126.2332898,제주특별자치도 제주시 한경면 청수리 3333-1
자연,열안지,열안지,열안지,33.42576024,126.5212974,제주특별자치도 제주시 오라동 산 97
자연,열안지오름,열안지오름,열안지오름,33.47305474,126.6052914,제주특별자치도 제주시 봉개동 산 778-1
자연,오백나한,오백나한,오백나한,33.35653848,126.5020585,제주특별자치도 서귀포시 하원동
자연,오조마을,오조마을,오조마을,33.46207672,126.9140605,제주특별자치도 서귀포시 성산읍 오조리
자연,왕이메,왕이메,왕이메,33.3436202,126.376642,제주특별자치도 서귀포시 안덕면 광평리
자연,외돌개,외돌개,외돌개,33.23903382,126.5448623,제주특별자치도 서귀포시 서홍동 791
자연,용눈이오름,용눈이오름,용눈이오름,33.45969968,126.8325101,제주특별자치도 제주시 구좌읍 종달리 산 38
자연,용두암,용두암,용두암,33.51611062,126.5119571,제주특별자치도 제주시 용담2동 483
자연,용머리해안,용머리해안,용머리해안,33.23165676,126.3147366,제주특별자치도 서귀포시 안덕면 사계리
자연,용연,용연구름다리,용연구름다리,33.512722,126.514464,제주특별자치도 제주시 용담일동 2581-4
자연,용천동굴,용천동굴,용천동굴,33.54828143,126.7781698,제주특별자치도 제주시 구좌읍 월정리 1837-2
자연,우도등대,우도항로표지관리소,우도등대,33.49309193,126.9660906,제주특별자치도 제주시 우도면 연평리 337
자연,우도산호해변,우도산호해변,우도산호해변,33.50240607,126.9430478,제주특별자치도 제주시 우도면 연평리
자연,우도,우도,우도,33.50441997,126.9555823,제주특별자치도 제주시 우도면 연평리
자연,우도마을,우도마을,우도마을,33.511863,126.9649079,제주특별자치도 제주시 우도면 연평리
자연,웃세오름,윗세오름,윗세오름,33.371137,126.510176,제주특별자치도 제주시 애월읍 광령리 산183
자연,월정리해변,월정리해수욕장,월정리해수욕장,33.55646939,126.7958051,제주특별자치도 제주시 구좌읍 월정리 33-3
자연,이호테우해변,이호테우해수욕장,이호테우해수욕장,33.4973768,126.4526908,제주특별자치도 제주시 이호일동 1665-13
자연,저지오름,저지오름,저지오름,33.33268661,126.2508601,제주특별자치도 제주시 한경면 저지리 산 51
자연,정물알오름,정물알오름,정물알오름,33.34054131,126.3244205,제주특별자치도 제주시 한림읍 금악리 105-1
자연,정물오름,정물오름,정물오름,33.33849135,126.3294634,제주특별자치도 제주시 한림읍 금악리 산 52-1
자연,정방폭포,정방폭포,정방폭포,33.24499661,126.5716053,제주특별자치도 서귀포시 동홍동 299-3
자연,제주노루생태관찰원,노루생태관찰원,노루생태관찰원,33.44481525,126.625806,제주특별자치도 제주시 봉개동 산 51-2
